Date,Opponent,Total FG Attempted,Total FG Made,Total FG Percentage,3pt FG Attempted,3pt FG Made,3pt FG Percentage
2012-02-15 00:00:00,Portland Trail Blazers,10,3,30.00%,2,,
2013-01-11 00:00:00,Portland Trail Blazers,22,7,31.82%,8,3,0.375
2013-03-30 00:00:00,Portland Trail Blazers,22,14,63.64%,12,7,0.5833333333333334
2013-04-17 00:00:00,Portland Trail Blazers,16,5,31.25%,11,4,0.36363636363636365
2013-11-23 00:00:00,Portland Trail Blazers,21,8,38.10%,9,2,0.2222222222222222
2014-01-26 00:00:00,Portland Trail Blazers,23,13,56.52%,8,5,0.625
2014-03-16 00:00:00,Portland Trail Blazers,23,11,47.83%,11,6,0.5454545454545454
2014-04-13 00:00:00,Portland Trail Blazers,29,16,55.17%,14,7,0.5
2014-11-02 00:00:00,Portland Trail Blazers,18,6,33.33%,5,1,0.2
2015-03-24 00:00:00,Portland Trail Blazers,22,13,59.09%,9,5,0.5555555555555556
2015-04-09 00:00:00,Portland Trail Blazers,23,17,73.91%,13,8,0.6153846153846154
2016-01-08 00:00:00,Portland Trail Blazers,18,8,44.44%,11,4,0.36363636363636365
2016-02-19 00:00:00,Portland Trail Blazers,23,12,52.17%,13,7,0.5384615384615384
2016-03-11 00:00:00,Portland Trail Blazers,23,13,56.52%,14,7,0.5
2016-04-03 00:00:00,Portland Trail Blazers,21,13,61.90%,13,9,0.6923076923076923
2016-05-09 00:00:00,Portland Trail Blazers,31,16,51.61%,15,5,0.3333333333333333
2016-05-11 00:00:00,Portland Trail Blazers,20,10,50.00%,11,5,0.45454545454545453
2016-11-01 00:00:00,Portland Trail Blazers,20,10,50.00%,9,5,0.5555555555555556
2016-12-17 00:00:00,Portland Trail Blazers,11,6,54.55%,8,5,0.625
2017-01-04 00:00:00,Portland Trail Blazers,24,12,50.00%,12,5,0.4166666666666667
2017-04-16 00:00:00,Portland Trail Blazers,19,9,47.37%,8,3,0.375
2017-04-19 00:00:00,Portland Trail Blazers,18,6,33.33%,12,4,0.3333333333333333
2017-04-22 00:00:00,Portland Trail Blazers,25,10,40.00%,14,5,0.35714285714285715
2017-04-24 00:00:00,Portland Trail Blazers,20,12,60.00%,11,7,0.6363636363636364
2018-02-14 00:00:00,Portland Trail Blazers,17,6,35.29%,10,3,0.3
2009-11-08 00:00:00,Sacramento Kings,8,4,50.00%,2,1,0.5
2010-01-08 00:00:00,Sacramento Kings,10,5,50.00%,2,1,0.5
2010-01-26 00:00:00,Sacramento Kings,22,10,45.45%,10,3,0.3
2010-02-17 00:00:00,Sacramento Kings,15,10,66.67%,4,1,0.25
2011-01-21 00:00:00,Sacramento Kings,20,12,60.00%,6,3,0.5
2011-03-14 00:00:00,Sacramento Kings,14,7,50.00%,8,5,0.625
2011-04-10 00:00:00,Sacramento Kings,17,11,64.71%,6,3,0.5
2012-01-31 00:00:00,Sacramento Kings,7,1,14.29%,3,,
2012-02-04 00:00:00,Sacramento Kings,14,4,28.57%,8,3,0.375
2012-11-05 00:00:00,Sacramento Kings,15,3,20.00%,6,2,0.3333333333333333
2012-12-19 00:00:00,Sacramento Kings,23,11,47.83%,11,7,0.6363636363636364
2013-03-06 00:00:00,Sacramento Kings,11,3,27.27%,5,2,0.4
2013-03-27 00:00:00,Sacramento Kings,18,5,27.78%,9,2,0.2222222222222222
2013-11-02 00:00:00,Sacramento Kings,13,8,61.54%,8,5,0.625
2013-12-01 00:00:00,Sacramento Kings,24,14,58.33%,8,5,0.625
2014-02-19 00:00:00,Sacramento Kings,14,5,35.71%,4,1,0.25
2014-04-04 00:00:00,Sacramento Kings,12,5,41.67%,5,2,0.4
2014-10-29 00:00:00,Sacramento Kings,17,7,41.18%,9,2,0.2222222222222222
2014-12-22 00:00:00,Sacramento Kings,12,5,41.67%,5,1,0.2
2015-01-23 00:00:00,Sacramento Kings,11,3,27.27%,7,2,0.2857142857142857
2015-02-03 00:00:00,Sacramento Kings,15,6,40.00%,6,2,0.3333333333333333
2015-11-07 00:00:00,Sacramento Kings,18,8,44.44%,10,2,0.2
2015-11-28 00:00:00,Sacramento Kings,7,4,57.14%,6,3,0.5
2015-12-28 00:00:00,Sacramento Kings,16,7,43.75%,13,6,0.46153846153846156
2016-01-09 00:00:00,Sacramento Kings,21,12,57.14%,14,8,0.5714285714285714
2017-01-08 00:00:00,Sacramento Kings,22,11,50.00%,11,5,0.45454545454545453
2017-02-04 00:00:00,Sacramento Kings,20,11,55.00%,14,8,0.5714285714285714
2017-02-15 00:00:00,Sacramento Kings,14,4,28.57%,8,2,0.25
2017-03-24 00:00:00,Sacramento Kings,18,9,50.00%,11,5,0.45454545454545453
2018-02-02 00:00:00,Sacramento Kings,17,7,41.18%,10,3,0.3
2009-11-25 00:00:00,San Antonio Spurs,16,5,31.25%,4,1,0.25
2009-12-16 00:00:00,San Antonio Spurs,11,4,36.36%,2,,
2010-11-30 00:00:00,San Antonio Spurs,22,13,59.09%,6,3,0.5
2010-12-08 00:00:00,San Antonio Spurs,2,,,,,
2011-01-24 00:00:00,San Antonio Spurs,15,6,40.00%,5,2,0.4
2011-03-21 00:00:00,San Antonio Spurs,8,3,37.50%,2,1,0.5
2012-01-04 00:00:00,San Antonio Spurs,11,7,63.64%,4,3,0.75
2013-02-22 00:00:00,San Antonio Spurs,17,6,35.29%,9,3,0.3333333333333333
2013-03-20 00:00:00,San Antonio Spurs,20,8,40.00%,8,4,0.5
2013-04-15 00:00:00,San Antonio Spurs,23,13,56.52%,13,7,0.5384615384615384
2013-05-06 00:00:00,San Antonio Spurs,35,18,51.43%,14,6,0.42857142857142855
2013-05-08 00:00:00,San Antonio Spurs,20,7,35.00%,6,2,0.3333333333333333
2013-05-10 00:00:00,San Antonio Spurs,17,5,29.41%,9,3,0.3333333333333333
2013-05-12 00:00:00,San Antonio Spurs,15,7,46.67%,10,5,0.5
2013-05-14 00:00:00,San Antonio Spurs,14,4,28.57%,7,1,0.14285714285714285
2013-05-16 00:00:00,San Antonio Spurs,25,10,40.00%,8,2,0.25
2013-12-19 00:00:00,San Antonio Spurs,28,12,42.86%,16,6,0.375
2014-03-22 00:00:00,San Antonio Spurs,13,5,38.46%,4,1,0.25
2014-04-02 00:00:00,San Antonio Spurs,15,5,33.33%,4,1,0.25
2014-11-11 00:00:00,San Antonio Spurs,18,7,38.89%,7,,
2015-02-20 00:00:00,San Antonio Spurs,17,8,47.06%,8,4,0.5
2015-04-05 00:00:00,San Antonio Spurs,16,9,56.25%,9,5,0.5555555555555556
2016-01-25 00:00:00,San Antonio Spurs,20,12,60.00%,9,6,0.6666666666666666
2016-03-19 00:00:00,San Antonio Spurs,18,4,22.22%,12,1,0.08333333333333333
2016-04-07 00:00:00,San Antonio Spurs,18,11,61.11%,6,3,0.5
2016-04-10 00:00:00,San Antonio Spurs,22,13,59.09%,9,4,0.4444444444444444
2016-10-25 00:00:00,San Antonio Spurs,18,9,50.00%,10,3,0.3
2017-03-29 00:00:00,San Antonio Spurs,20,9,45.00%,8,4,0.5
2017-05-14 00:00:00,San Antonio Spurs,25,14,56.00%,15,7,0.4666666666666667
2017-05-16 00:00:00,San Antonio Spurs,12,8,66.67%,8,6,0.75
2017-05-20 00:00:00,San Antonio Spurs,15,8,53.33%,7,3,0.42857142857142855
2017-05-22 00:00:00,San Antonio Spurs,24,14,58.33%,13,5,0.38461538461538464
2017-11-02 00:00:00,San Antonio Spurs,13,7,53.85%,4,3,0.75
2018-02-10 00:00:00,San Antonio Spurs,12,7,58.33%,6,3,0.5
2018-03-08 00:00:00,San Antonio Spurs,1,,,,,
2010-03-13 00:00:00,Toronto Raptors,21,13,61.90%,8,5,0.625
2010-04-04 00:00:00,Toronto Raptors,22,10,45.45%,10,5,0.5
2010-11-08 00:00:00,Toronto Raptors,21,12,57.14%,4,2,0.5
2011-03-25 00:00:00,Toronto Raptors,13,7,53.85%,6,4,0.6666666666666666
2013-01-28 00:00:00,Toronto Raptors,12,7,58.33%,3,1,0.3333333333333333
2013-03-04 00:00:00,Toronto Raptors,16,8,50.00%,5,2,0.4
2013-12-03 00:00:00,Toronto Raptors,15,8,53.33%,7,3,0.42857142857142855
2014-03-02 00:00:00,Toronto Raptors,27,13,48.15%,11,4,0.36363636363636365
2015-01-02 00:00:00,Toronto Raptors,18,10,55.56%,11,5,0.45454545454545453
2015-02-27 00:00:00,Toronto Raptors,11,7,63.64%,3,2,0.6666666666666666
2015-11-17 00:00:00,Toronto Raptors,23,13,56.52%,10,5,0.5
2015-12-05 00:00:00,Toronto Raptors,24,14,58.33%,15,9,0.6
2016-11-16 00:00:00,Toronto Raptors,19,10,52.63%,9,3,0.3333333333333333
